Title,initial
"Two Multiple Integrals","2013"
"interval where function with larger derivative is larger","2014"
"Find the area of a surface of revolution","2012"
"Help! I have a function a point, and a rate of change... how do I find the direction?","2015"
"Calculus Proving Question","2014"
"find this exponential limit","2015"
"Integrate function $\int_{0}^{\infty}\lambda^{x}e^{-2\lambda}d\lambda$","2013"
"Showing that $3x^2+2x\sin(x) + x^2\cos(x) > 0$ for all $x\neq 0$","2014"
"Show that if f(x) is an n-times differentiable function defined on an interval I","2013"
"How to find an analytic solution to $\lim_{x \to +\infty} \frac{x+\sin(x^2)}{\sqrt{x^2+1}}$","2013"
"Another limit task, x over ln x, L'Hôpital won't do it? ","2010"
"Logarithmic Differentiation - Always possible?","2014"
"""Multiplying"" by a dt then cancelling?","2013"
"Differentiability of two variables featuring two equations","2015"
"Apostol (3.8.22): Finding $f \circ g (x)$","2015"
"What is a clever way to show that if $0 \leq x \leq 1$ then $x^n \leq x$ for every $n > 1$ ? ($n \in \mathbb{R}$)","2016"
"How do we compute laplacian of implicit function?","2016"
"How do I finish finding the volume of this solid torus?","2013"
"Show that $x^{8}+5x^{2}=1$ has exactly $2$ real roots","2013"
"Partial derivatives inverse question","2016"
"Determine if the improper integral converges $\sin(1/x)$","2016"
"Find a number $\alpha > 1$ such that the following holds","2016"
"Convergence of composition of functions sequences","2014"
"Derivative of $a^x$ from first principles","2014"
"When to do u-substitution and when to integrate by parts","2013"
"Proving a theorem on limits that approach infinity.","2012"
"Solve $a^x + b^x = c$ for $x$.","2016"
"Why is the derivative at an instantaneous point, but the integral is the area of the whole function?","2016"
"Calc 1 Related Rates","2016"
"Why is the derivative at an instantaneous point, but the integral is the area of the whole function?","2016"
"Switching limits of integration","2016"
"functional equation of type $f(x)-f(y) = f\left(\frac{x-y}{1-xy}\right)$","2016"
"Integral with trig functions and substitution","2014"
"What is the use of the chain rule?","2015"
"Integration of improper integrals","2015"
"Find the limit of function in $R^n$","2014"
"Problem with two improper integral problems.","2016"
"Help rearranging a derivative","2011"
"Second order linear ODE determine coefficient","2015"
"can not find the proof that logarithms are the inverse of exponentials","2013"
"When does product of derivatives equals derivative of products?","2014"
"Can you please help me to compute this double integral?","2014"
"How many solution with the equation $f_{2013}(x)=\frac{x}{2013}$","2013"
"Calculate the surface area of a solid of revolution","2010"
"Ranges and the Fundamental Theorem of Calculus 1","2010"
"Evaluate the integral as a power series $\int x^{11}\cdot\tan^{-1}(x^2)\,\mathrm dx$","2010"
"Concepts of limit laws and limits","2012"
"Chain rule for $ y = (x^2 + x^3)^4$","2012"
"Find the Maclaurin seris for $f(x)= 1/(1+4/5x)^3$","2014"
"the following functional equation it is useful?","2013"
"What's the limit of this sequence?","2013"
"What is the integral of 0?","2013"
"Spivak's Calculus - Fibonacci Sequence","2014"
"Find the derivative of the function $F(x) = \int_{\tan{x}}^{x^2} \frac{1}{\sqrt{2+t^4}}\,dt$.","2015"
"Evaluation of $\displaystyle \int_{1}^{3}\left[\sqrt{1+(x-1)^3}+(x^2-1)^{\frac{1}{3}}\right]dx$","2016"
"definite integral with periodic function of period = 1","2013"
"The converse of Lagrange mean value theorem","2014"
"Proving an equality on $\arctan x$","2013"
"$\frac{1}{x-a} + \frac{1}{x-b} + \frac{1}{x-c} = 0 $ has precisely two real roots","2013"
"True statement?","2012"
"Question on first differentiate Equation","2014"
"$\left|\int g(t)dt\right|=0$ then can we say that $g=0$?","2014"
"How many times would a $45$ minute event have occurred per $60$ minutes?","2014"
"How prove this Rāmā ujan Aiya kār identity $\sqrt{1+2\sqrt{1+3\sqrt{1+4\sqrt{1+5\sqrt{1+\cdots}}}}}=3$","2014"
"How should I prove that $\log(x)$ is continuous on $(0, \infty)$?","2015"
"$Q=\Sigma q_i$ and its differentiation by one of its variables","2013"
"how to find $f(2)$","2013"
"Does $\sum _{ n=1 }^{ \infty }{ \frac { { 3 }^{ n }-{ 2 }^{ n } }{ { 4 }^{ n } }}$ converge?","2015"
"Minimum of this expression","2016"
"Property of a function and its second derivative","2014"
"Example of extrema of two variables functions","2014"
"Error estimation in Taylor Series","2013"
"What is the derivative of a function in this form: $ \ e^{a x+b} \ $?","2016"
"Find the closest point on $y=\frac{1}{e}x+e^2+1$ to the curve $y=\ln(x)$","2013"
"If $\displaystyle\lim_{n\to\infty}{\dfrac{a_n}{1+|a_n|}}=0$ then $\displaystyle\lim_{n\to\infty}{a_n}=0$","2014"
"Differentiate the Function: $g(y)=ln\frac{(2y+1)^5}{\sqrt{y^2+1}}$","2015"
"how to find x in $ax + e^x = k$","2013"
"Finding Anti-Derivatives of Functions (Non-Elementary)","2016"
"solve an equation with e raised to two different exponents","2014"
"Differentiation of a function with respect to a product of variables","2012"
"Uniform convergence of $n\left(\sqrt{x+\frac{1}{n}}-\sqrt{x}\right)$","2012"
"the relationship between $f^{-1}(x)$ and $x$","2015"
"Is it a good practice to write this integral in this form?","2015"
"simply boolean expression into 4 literals","2014"
"Reduce the equation $x^2y''\:+\:2xy'\:-\:5y\:=\:0$ with $x=e^z$","2014"
"Differentiating function with radicals","2011"
"Determining the volume of an egg","2015"
"tangent line equation help me","2015"
"For a continuous function, $f(0) = f(1) \Longrightarrow f(a) = f(a + 1/2)$","2011"
"Another  question in calculus","2011"
"getting curl from gradient","2014"
"What is inflection point?","2014"
"very basic calculus doubt","2013"
"Curiosity about the area between the arclength and the connected line","2013"
"Does inverse wrapping exist?","2011"
"how to proof the inequality$ B^2 \leq 2AC$ using other inequality","2013"
"Limit involving a trigonometric function as $x\rightarrow +\infty$","2016"
"Smallest values of y for values of x","2013"
"Solve this definite integral","2014"
"Summation of an infinite series that $= e^a$","2016"
"Local maxima or minima of a continuous functions","2016"
"Using the Bolzano's theorem to prove that exists only one solution in the interval.","2014"
"Differentiate the function: $y=\frac{e^u-e^{-u}}{e^u+e^{-u}}$","2015"
"Write the equation of the osculating circle of$ y=\sin(x)$  at $ (\pi/2,1)$","2011"
"Compute $\sum_{n=0}^\infty \frac{(n+1)^2}{n!}$","2014"
"Limit of recursive sequence $a_n=\frac{(x/a_{n-1})+a_{n-1}}{2}$","2013"
"$a_n=\frac{(x/a_{n-1})+a_{n-1}}{2}$: Generalize to $n$th roots","2013"
"$\lim_{n\rightarrow\infty}\left(1+\frac{1}{n}+a_n\right)^n=e$","2013"
"Proving that multiplication of convex function is convex","2012"
"Limits and Derivatives","2012"
"Prove that $f$ has only one maximum point and only one minimum point and find them.","2016"
"Does Proofwiki correctly state the intermediate value theorem?","2016"
"How to solve $\int \ln(x)\cos(x)\: \mathrm{d}x$?","2013"
"How to prove this supposedly simple inequality?","2013"
"Why is Euler's Identity stated the way it is?","2011"
"continuity of a piece wise defined function","2014"
"Find the area of ln(x^2) bound by the x-axis, x=2, and x=6, revolved around the y-axis","2014"
"Symmetry in functions","2016"
"Solving a double integral using change of variables.","2015"
"Determining if a line is orthogonal to a plane","2011"
"Is instantaneous rate of change rigorously defined for a curve that is not a function?","2013"
"Vector identity proof","2016"
"Proof that the cross product is not associative without using components.","2016"
"decomposing a fraction into partial fractions","2014"
"Word problem involving interest rate","2014"
"Simplify fraction","2013"
"Factors of -2 that sum to","2016"
"Let a be a real number and suppose that","2014"
"""Find the unique x in the interval [0,pi] with...""","2014"
"Is this function continuous everywhere?","2014"
"Taylor expansion of complicated quotient","2012"
"Rolles theorem question involving integrals","2014"
"find x+y if $ (x+\sqrt{x^2+1})(y+\sqrt{y^2+1})=42 $?","2014"
"Maximum and minimum of $f(x,y) = xy$ in the region between $y=0$ and $y=x^2 -4$","2013"
"Confirm that $E_x(a)=\frac{kQ}{ a \sqrt{a^2+L^2}}$","2015"
"Showing that $\displaystyle \lim_{x \to{+}\infty}{ax^{3}+bx^{2}+cx+d} = {+}\infty$, $a>0$.","2013"
"How find this $\prod_{1\le j\le m-1,gcd(j,m)=1}\prod_{1\le k\le n-1,gcd(k,n)=1}\left(e^{\frac{2\pi j}{m}i}-e^{\frac{2\pi k}{n}i}\right)$","2013"
"Problem in understanding a statement on finding the velocity field of fluid.","2016"
"Find $\int^{2}_{0}f(x)\cos(\pi x)dx=?$","2016"
"Using integration by parts to show that if a function integrates to zero against every function with zero mean, then it is constant","2014"
"More help with implicit differentiation","2011"
"How to prove that if we have $f(x)=g(y)$, then we have $f'(x)=g'(y)$","2015"
"Evaluating the Integral: $\int_0^\infty \frac{( \frac{1}{2} - \cos x )}{x} dx$","2013"
"Finding the circulation and flux of a field","2013"
"Flux across the circle","2013"
"How to sketch the curve of parametric equations","2011"
"Taylor series equation","2013"
"Why does $\lim\limits_{n \to \infty } ((1 + x)(1 + {x^2})(1 + {x^4})\ldots(1 + {x^{{2^n}}})) = \frac{1}{{1 - x}}$?","2015"
"Evaluating $\lim\limits_{x \to -\infty} \sqrt{x^2 + 3x} - \sqrt{x^2 + x}$. Is Wolfram wrong or is it me?","2016"
"Find the limit of $\lim_{ x\to 14} \frac{x^2-14x}{x^2-196}$","2015"
"Why does the line integral of $r \,d\theta$ from $0$ to $2\pi$ equal $0$?","2016"
"Definition of Tangents","2013"
"Chain Rule, need clarification on how to use it correctly for $e^{2t \sin 2t}$?","2014"
"evaluating some limits - calculus","2015"
"Evaluate $\displaystyle \lim_{n \to \infty} \sum_{k=1}^n \frac{k^p}{n^{p+1}}$","2016"
"n-th derivative of a function","2011"
"Proving Limit Laws Using Delta Epsilon","2014"
"Moving only to the right and down, how many different pathways exist to get from A to Point B","2013"
"Given: $f(x)=5/(x+4)$ and $g(x)= -1/(7-x),$ find $h(x)=(fg)(-3)?$","2013"
"Related rates shadow question","2013"
"Solving a word problem using derivatives to find the maximum","2012"
"Finding Polynomial Limit","2012"
"Ice cream jar of a given volume using calculus","2016"
"Finding final velocity when initial velocity, distance travelled and acceleration are known?","2016"
"Vector Parametrization of intersection of a plane and an elliptical cylinder","2013"
"Normal vector to a plane","2013"
"Equation in polar coordinates to rectangular coordinates","2013"
"Stuck with double integral $\int\int xe^{y^2} \,dy \,dx$","2016"
"Why can we ""separate"" variables?","2013"
"calculate the following limit $ \mathop {\lim }\limits_{t \to 1} \left[ {\frac{{\left( {1 + t} \right)\ln t}}{{t\ln t - t + 1}}} \right] $","2014"
"Laplace for a function","2015"
"Total derivative of function that involves other terms","2013"
"A proposition based on mean value theorem","2016"
"Solve this $\;2\sqrt[4]{\frac{x^4}{3} + 4} = 1 + \sqrt {\frac{3}{2}} |y| \ldots$","2013"
"Finding the value of the y-intercept of a line and a function","2015"
"Equation of an unknown Curve?!?","2015"
"If $f$ continuous and $f(x^2) = f(x)$, then $f$ is a const","2011"
"Solving a problem with L'Hospital's rule","2013"
"""Find $f '(a)$"" explaining in english","2011"
"Does $\int_1^\infty \sin^2 (x^2) \, dx$ converge?","2016"
"Prove the following function must have a local min.","2012"
"A improper integral","2016"
"Does the function $\frac{x}{\sqrt{1+x}}$ have an oblique asymptote?","2014"
"Create hölder continuous function","2014"
"Derivative at a point (Linear approximation at point)--what is the valid range for approximation?","2013"
"Give an approximation for $f(-1)$ with an error margin of less than $0.01$","2016"
"If $f'(x) = \sin{\frac{\pi e^x}{2}}$ and $f(0)= 1$, what is $f(2)$?","2013"
"Can you use indefinite integration to prove equivalence of two functions?","2013"
"what is $\lim\limits_{x\to\infty}\cosh x/x!$?","2012"
"Characterizing $r^*(g):∫_0^1(x-\frac{1}{g})x^{\frac{1}{gr-1}}\frac{\ln x}{(1+xgr)²}dx=0.$","2013"
"Convergence to exponential function.","2013"
"Question on intuition behind notation in u substitution","2016"
"Max-min problem","2014"
"Derivative question calculus","2013"
"Evaluating $\int x^{15} \cos x^8 \, dx$","2016"
"Second partial derivatives vs total second derivative","2013"
"Limit of $\left(2-a^\frac{1}{x}\right)^x$","2013"
"Limit of an integral of a continuous function","2015"
"Integration with substitution or parts?","2015"
"Calculation of integral $ \int_{0}^{\infty} \frac{x}{e^x - 1}\mathrm{d}x$","2016"
"Must I take Calculus II before Statistics and Discrete Mathematics?","2016"
"Solve $(x^3+e^y)y'=3x^2$. Help me please I can't solve it.","2016"
"Integral of $\int_{0}^{\infty} \lambda e^{- \lambda x} dx$","2015"
"What am I doing wrong? Finding a limit as $x$ approaches $0$","2014"
"euler's theorem of homogeneuos function","2016"
"prove that $ \lim_{x \to 0} \frac{e^{1/x}}{x}$ does not exist.","2013"
"what is the limit of $\lim_{n\to\infty} [n^n/e^nn!]$","2014"
"Equation explanation","2015"
"What is the point of finding the area under the curve?","2016"
"Find $f$ such that the following integral equation is satisfied.","2012"
"Lagrange's method to find min/max question","2012"
"Fundamental theorem of calculus and inverse functions","2012"
"What is the first derivative of $y= \sin^2(\sqrt{x})$?","2011"
"quadratic approximation of $e^{x^3}$ at $x=0$","2015"
"Find the smallest real number $a\gt 0$ for which the equation $a^x=x$ has no real solutions","2016"
"Graph $r=3-3\sin\ (2\theta) $ and find the area of one of the loops.","2014"
"How do I take the limit of this function?","2014"
"Maximum and minimum of the following function","2014"
"Critical point at $ g(x)$","2014"
"Prove: the function $g$ has a global minimum in $\mathbb{R}$","2016"
"If $f(\frac{x}{y})=\frac{f(x)}{f(y)} \, , f(y),y \neq 0$ and $f'(1)=2$ then $f(x)=$?","2013"
"multiplication of a trigonometric series","2012"
"Could someone explain this proof to me?","2013"
"function that describes speed of object that accelerates and decelartes exponentially","2016"
"The limit of an inverse trig function.","2013"
"Show that the following sequence is bounded...","2014"
"What is the simplified average rate of change","2016"
"Find a positive increasing function $f$ such that $f(x)x$ is not convex","2016"
"What is the graphical representation of the instantaneous rate of change","2016"
"For the function f(x)=1x, calculate (to 5 decimal places) f(a+h)−f(a)hwhere a= 5 and h = .5 h = 0.1","2016"
"What is the instantaneous rate of change for $ƒ(x) = 2x + 5$ at $x = -7$?","2016"
"How are the average rate of change and the instantaneous rate of change related for ƒ(x) = 2x + 5?","2016"
"Help starting with Integration by parts","2014"
"When are differentials actually useful?","2016"
"For what values of $a$ the equation $(ax)^2-x^4=e^{|x|}$ have no solution","2013"
"How to evaluate $\lim\limits_{x\to 0} \frac{\arctan x - \arcsin x}{\tan x - \sin x}$","2016"
"Find all $(x,y,z)$ on $S$ such that the line connecting $Q$ to $(x,y,z)$ is tangent to $S$?","2014"
"Describing the bended regions of a four-parameter logistic function","2013"
"Calculus Derivative help","2013"
"About limit theorems","2012"
"Proving that the $n$th derivative satisfies $(x^n\ln x)^{(n)} = n!(\ln x+1+\frac12+\cdots+\frac1n)$","2013"
"exercise in Intermediate value","2016"
"Prove a simple relation involving the function $f(x)=\sum_{n=1}^{\infty}\frac{\sin(n x)}{n^2}$","2015"
"Rolle's theorem for limits","2013"
"Work Pumping Water","2014"
"On the vanishing of integrals.","2016"
"Computing limit of $(1+1/n)^{n^2}$","2013"
"looking for advice on studying calculus","2013"
"How to prove a set is open","2014"
"Identifying domains","2014"
"Building volume using lagrange multipliers","2016"
"Uniform continuity of $f(x) = 2x$","2012"
"What is $f '(x)$ for $f(x)=(x-3)^3$?","2014"
"Solving for vertical asymptote(s)","2014"
"An example to divergent sequence that there exists parenthesization such that it converges upon","2012"
"Is $\int_\Omega \frac{u(y)-u(x)}{|y-x|^2} dy$ $\alpha$-Holder continuous?","2014"
"Convexity of Gamma function","2014"
"How to prove this inequality for exp?","2013"
"How do I integrate $\sqrt{\frac{1+x}{1-x}}$?","2015"
"Solutions to equation $3 \ln x+m x^3 = 17$","2011"
"Find the length of the curve: $y=\frac{x^{5}}{6}+\frac{1}{10x^{3}}\qquad 1\leq x\leq 2$","2011"
"Can I prove a multivariable does not exist using polar coordinates?","2016"
"Prove that if $f$ is continuous in $[0,1]$, and $f(0)=f(1)= \frac{1}{3}$, then there is $c \in (0,1)$ so that $f(c)=c^2$","2014"
"Integrability of Composition of continuous and Lebesgue integrable functions","2014"
"Find value of $\lim_{n\rightarrow \infty} \sum^{(n+1)^2}_{n^2}\frac{1}{\sqrt{k}}$","2016"
"Understanding Big O","2016"
"Find the exact critical numbers for $f(x) = 3x - \sqrt{x}$","2016"
"Showing a continuous function is bounded on $[0,\infty)$ given a limit at $\infty$","2015"
"Find the area of the surface obtained by rotating the curve about the x axis","2011"
"Two sides of a triangle are 15cm and 20cm long respectively...","2014"
"Area bounded by $y=e^{-x^2}\;,y=0$ and $x=0$ and $x=1$,","2014"
"Infinitely differentiable function with compact support","2011"
"$\frac{0}{0}$ Indeterminate","2016"
"how to calculate a sequence's limit without know the sequence formula ($a_n=x$)?","2016"
"Why doesn't the fundamental theorem of calculus depend on the lower bound?","2015"
"property of continuous function","2015"
"The gradient of a distance function.","2014"
"Why is this integral not correct?","2016"
"Continuous with no left derivative","2013"
"Equation of tangent to a curve (Just need help with $\frac{dy}{dx}$)?","2013"
"How to show that $(3,0)$ is a critical point of $f(x,y)=\sqrt{x^2-6x+y^2+9}$?","2014"
"Differentiate the Function: $ f(x)= x\ln x\ - x $","2015"
"Differentiate the Function: $f(x)=\ln (\sin^2x)$","2015"
"Surface is cut by a plane, producing a line. Find the slope of the line.","2016"
"Find gradient of curve $y=2x^3 - 5x^2 -x+1$ at point $(2,-5)$. Continue in description!","2014"
"In what case this equation has a solution(s)?","2012"
"Trying to show a function has period $\pi$","2015"
"Where is the flaw in this reasoning? Change of variables","2012"
"Can the Fundamental Theorem of Calculus be used here?","2016"
"Given that $\pi=2\int_{-1}^1\sqrt{1-x^2}dx$ use the properties of the integral to compute $\int_{-2}^{2}(x-3)\sqrt{4-x^2}dx$ in terms of $\pi$.","2015"
"Find the absolute minimum and absolute maximum","2013"
"Use Intermediate Value Theorem","2013"
"Derivative of a rational function","2011"
"Show there is a closed interval $[a, b]$ such that the function $f(x) = |x|^{\frac1{2}}$ is continuous but not Lipschitz on on $[a, b]$.","2013"
"Vector differentiation","2014"
"Average value, integrals, compound interest","2016"
"How to get rid of this exponentiation","2013"
"For what $b$ does $\sin^2(x) - \cos(bx) + 1=0$ has only one solution?","2016"
"solve for $\theta$ in $ \theta - \sin \theta = 0.6\pi $","2016"
"What's wrong when a particle is accelerating?","2016"
"There exists a constant $C$ such that $|\sin(x)-x|\le C|x^3|$ for all real $x$","2016"
"Need help evaluating the definite integral.","2013"
"A little confused. Indefinite integral help.","2013"
"Prove that for $a,b > 0$, we have $\int_{0}^a f(x)dx+\int_{0}^b f^{-1}(x)dx \geq ab$","2016"
"Related rates with snowball","2014"
"Application of derivates","2016"
"Continuity of the function $f(x)=x^{2}+2x-2$ if $x\in\mathbb{Q}$ and $f(x)=3x$ if $x\in\mathbb{I}$","2013"
"Prove $(x+1)e^x = \sum_{k=0}^{\infty}\frac{(k+1)x^k}{k!}$ using Taylor Series.","2013"
"Calculating $\lim_{x\to\frac{\pi}{2}}(\sin x)^{\tan x}$","2013"
"Some matrix calculus (differentiation)","2013"
"Integral equality when $f(x) \ge g(x)$","2013"
"Closed subset of $\;C([0,1])$","2013"
"How come we ignore constants when finding derivatives?","2014"
"How to compute $\mathop {\lim }\limits_{n \to \infty } \frac{{\arctan (n)}}{{5n}}$?","2015"
"If $f : [a, b] \to \mathbb{R}$ is cont, non-monotonic, there exists $u,v \in [a, b]$ such that $f(u) = f(v)$","2012"
"Show that $0=x^x$ has no solution in $\mathbb{R}$.","2014"
"Study functions at $-\infty$, 0 and $+\infty$","2014"
"if $f^{\prime\prime}$ is bounded then $f^\prime$ is bounded by half of the constant?","2013"
"Which function gets larger?","2013"
"Split number in two, so that two rounded portions equal the original.","2014"
"Analyze the function $f \left( x \right) =\arcsin \left( x \right) -\arcsin \left( \sqrt{1-x^{2}} \right)$","2014"
"The Geodesics of a Sphere.","2014"
"Finding mass by integration","2013"
"Relative Minima and Maxima and Graph $f''(x)$ using below graph $f(x)$","2013"
"Integrals and Intermediate value theorem","2016"
"Prove that $2 < e < 4$ using upper and lower Riemann sums and the definition of $\ln{x}$","2012"
"Differentiability vs Having a Derivative","2013"
"simplify fractions","2016"
"How to integrate this almost binomial distribution?","2016"
"How do i use newton's method to calculate the value of 10^1/3 to two decimal place?","2014"
"Spivak's Calculus: Chapter 12, Problem 26","2011"
"How do you get to the slope intercept formula from this linear function?","2015"
"Why is $\ln(-x)$ the antiderivative of $x^{-1}$ if $x < 0$?","2014"
"Why doesn't L'Hôpital's rule work here?","2014"
"Finding when $\frac{1}{\pi}\int_0^{j\pi} \frac{\sin t}{t} - \frac{1}{2}$ is positive / negative","2013"
"Finding Concavity","2013"
"Volume of a shape","2013"
"Why does $U(f,P) - L(f,P) < \epsilon$ make a good criterion for integrability?","2013"
"When a rock hits the ground, the velocity is zero. But, what is acceleration?","2013"
"Which of these values for $f(12)$ are possible?","2013"
"Improper definite integral","2013"
"Derivation of the optimal firing angle of a dragless projectile with an initial height","2015"
"Proof that function is uniformly continuous","2013"
"Spivak's Calculus exercise. Chapter 10, Problem 27","2010"
"find the volume of a region bounded by $y=\sqrt{x} ,x=0, y=2$ around the Y-axis.","2014"
"Limit with roots","2013"
"Finding the points of intersection in Polar Equations","2011"
"Order of Rate of Growth","2015"
"Average Value of a Function","2016"
"Representing area as an integral independent of the coordinate systems","2011"
"The $43$rd derivative of $\sin(x^{13}+x^{15})$ | Calculus 1","2013"
"Let $a,b,c$ be three roots of equation $e^{2x}\sin(2x) - 7 = 0$. Then root of equation $e^{2x}\sin(2x) + 7 = 0$","2016"
"If $f'(x)\geq c$, show that $f(x)\geq f(0)+cx$ if $x\geq0$ and $f(x)\leq f(0)+cx$ if $x\leq0$","2016"
"Substitution in definite integral","2016"
"I have a question from the Book of Leithold.","2012"
"Small angle approximation of the integrand of the arc length","2015"
"help solving an integral $\int\left(\frac {x-1}{3-x}\right)^\frac{1}{2} dx$","2011"
"Find the limit $\lim_{x\rightarrow 0} \frac{\sin x - x}{\tan x - x}$","2016"
"Minimizing the distance between two boats.","2013"
"$\displaystyle\lim_{x \to a}(f(x))^n = (\lim_{x \to a}f(x))^n$","2016"
"Question about the graphical interplay between displacement and area","2014"
"Derivative of $(\sin x + \cos x)\sec x$","2014"
"Moving the limit sign.","2015"
"Distance from a point to a line and from point to plane","2015"
"Sketch $f(x) =\frac{ 2x}{x^2-5x+4}$","2016"
"Calculate limit of ratio of these definite integrals","2014"
"Find the length of the curve from x=-2 to x=1 of $y=\sqrt{a^2-x^2}$","2011"
"Finding a function $f(x,y)$ with specified partials","2011"
"Find that $\lim_{a\to \infty}a^3 f(a)=?$","2015"
"Is $x^n$ for some $0<x<1$ negligible?","2016"
"What equation would give me a graph like this?","2016"
"Evaluating $\lim\limits_{n \to \infty} (\int _a^b|f(x)|^ndx)^\frac 1n=\max\limits_{x\in[a,b]}|f(x)|$","2013"
"Equvalent Asymptote of Radical Functions Proof","2016"
"Evaluate $\lim_{x\to\infty} \sqrt{x+\ln x}-\sqrt{x-\ln x}$","2015"
"proving of Integral $\int_{0}^{\infty}\frac{e^{-bx}-e^{-ax}}{x}dx = \ln\left(\frac{a}{b}\right)$","2013"
"proving $\int_{a}^{b}\frac{x^{n-1}\left((n-2)x^2+(n-1)(a+b)x+nab\right)}{(x+a)^2(x+b)^2}dx = \frac{b^{n-1}-a^{n-1}}{2(a+b)}$","2013"
"Find the point on the line $x + 4y − 7 = 0$ which is closest to the point $(-2, -2)$","2013"
"How to get back the first form in terms of absolute function from the component form of a function?","2014"
"I can't find differences between $P(1+r)^n$ and $P(2.71828)^{rn}$","2012"
"Find the derivative of the function $y=(\ln x)^{x/3}$","2015"
"Strictly Decreasing Function","2015"
"Showing that $e^x > 1+x$","2014"
"Question on partial derivatives","2011"
"how can i simplify this function to find the zeros?","2013"
"Evaluation of $\int^1_0 \cos^2\frac{(m+n)\pi x}{2}\sin^2\frac{(n-m)\pi x}{2}dx$.","2013"
"Evaluate an integral using power series","2016"
"Find any asymptotes for $f(x)=\frac{x}{\sqrt[3]{x^2-1}}$","2013"
"Find the first three terms of the Maclaurin Series","2013"
"Partial fractions","2014"
"How do I solve delta epsilon proofs for quadratic equations?","2014"
"Differentiating the integral $h(x) = \int_\limits{0}^{x^2} e^{x+t}dt$","2016"
"A property of integrals","2016"
"Solving the following integral $\int_1^c\frac{1}{x} \cos(a_nx)\mathrm{d}x\ $","2016"
"Finding the oblique asymptote of:","2014"
"Conditions stronger than differentiability or weaker than integrability","2012"
"How many terms of the series do we need to add to find the sum to the indicated accuracy","2013"
"calculation the Integral $ \int_{0}^{1}\frac{\tan^{-1}(x)}{1+x}dx$","2014"
"Is this way of solving integration problem correct?","2011"
"Finding $\sum\limits_{k=0}^n (f(k)g(k))$ (calculus of finite difference)","2015"
"How to find this limit?","2013"
"Integrate this without using methods from Complex Analysis","2014"
"How to write the equation of this graph in the given figure?","2015"
"Rotate $y=e^{-x^2}$ about the y-axis to find the volume.","2014"
"show that f is constant on I","2014"
"Differentiation of functions","2014"
"Help me understand notation","2014"
"maximum value of $\int^{\frac{3\pi}{2}}_{-\frac{\pi}{2}}\sin xf(x)dx$ subjected to the condition$|f(x)|\leq 5$","2016"
"Interval of concavity?","2013"
"Calculus find $dx/dt$ using the given information","2013"
"Indefinite Integration (1) $ \int 2^{\log_{e}(x)}dx$ (2) $\int 2^{mx}\cdot 3^{nx}dx$","2013"
"Finding the equation of a function","2015"
"An inequality related to convex function","2016"
"Derivative of a Heaviside function?","2014"
"A question about calculus","2014"
"if $f''$ is continuous then $f''(x_0)=0$ where $x_0$ is an inflection point","2016"
"Help with implicit differentation","2011"
"Calculate the Laplace transform.","2013"
"Finding the equation of a tangent line that passes through a curve at point P.","2014"
"$\frac{1}{\pi}\int^{\pi}_{-\pi} e^{2x^2} dx\geq\sum_{k=1}^\infty (\frac{1}{\pi}\int^{\pi}_{-\pi }e^{2x^2} \sin(kx)\,dx)^2$","2016"
"Suppose $f(x)$ is a nonnegative convex function in $[0,1]$, prove an inequality.","2016"
"Finding area under a curve, limit approach, Riemann sums","2016"
"find $b$ if function $f(x)$ is strictly decreasing function","2016"
"Prove that $ \int_{0}^{1}\frac{\sqrt{1-x^2}}{1-x^2\sin^2 \alpha}dx = \frac{\pi}{4\cos^2 \frac{\alpha}{2}}$.","2013"
"Is this argument that $(0,0)$ is a local minimum for $f(x,y)=x^4+3xy^2+y^2$ correct?","2011"
"Find the length of the given curve $x=3y^\frac{4}{3}-\frac{3y^{\frac{2}{3}}}{32} $","2011"
"Show that on every line $ y=mx$ the function has a minimum at $(0,0)$","2016"
"The side of a square is increasing at a rate of 5cm/s. At what rate is the area changing when the side is 10 cm long? Question continued below..","2016"
"Finding Coordinates for a point on a tangent line","2014"
"Proving that $x_{n+2}-x_{n+1}=o(x_{n+1}-x_n)$ in a certain case","2011"
"Use the Mean Value Theorem to estimate $f(8)−f(3)$","2015"
"Help with convergence of $\sum_{1}^{\infty}(-1)^{n}\sin\left(\frac{1}{n}\right)$","2015"
"Find the instantaneous velocity","2014"
"instantaneous velocity","2014"
"Area between rotated figure","2013"
"Clarification on what this author means by ""logging does not change the maximum"" of a function","2016"
"Proving that $A=\{(-2)^n : n \in \mathbb{N} \}$ is unbounded","2012"
"Proving that $A=\left\{\dfrac{n}{2n+1}:n \in \mathbb{N}\right\}$ is bounded by $\dfrac{1}{2}$","2012"
"What is the derivative of $y = \int_{0}^x t f(x^2-t^2)dt$?","2015"
"on bounding a series","2016"
"Why does $a_n = (1+\frac{2}{n})^{n}$ converge to $e^2$?","2011"
"Finding all the critical points of $f(x,y) = (5x+7y-25)e^{-(x^2 + xy + y^2)}$","2011"
"Can dx=dy happen when x and y are independent?","2015"
"Trigonometric Substitution","2014"
"Application of Cauchy's convergence criterion","2012"
"$s(x)$ is a arc length function, find $s'(x)$","2012"
"Zeroing the carrier measure of an exponential family","2012"
"Finding potential function of $f(x,y)=\hat i+ 2 \,\cdot\hat j$","2015"
"Differentiating $1/(1-x)$ using the fact that $[x^n]'=nx^{n-1}$?","2015"
