recent,Title,initial
"2015","Sensitivity to error of least squares versus ""least sums""","2013"
"2016","Prove that if $A^2=0$ then $A$ is not invertible","2011"
"2011","How to find the matrix of rotation in $\mathbb{R}^3$ by the angle a around the vector column $(1, 2, 3)^T$","2011"
"2013","Determining a basis for solution set","2013"
"2014","Is the product of any two invertible diagonalizable matrices diagonalizable?","2014"
"2011","Determinant and matrix representation questions","2011"
"2016","Number of Subspaces that contains other Space","2016"
"2015","Is the vector difference of two subspaces also a linear subspace?","2015"
"2012","$Sp(A)\bigoplus Sp(B) \Leftrightarrow A\cup B$ is linearly independent","2012"
"2014","Spectral Decomposition of A'A","2014"
"2016","Projection matrix determinant problem. Is it zero?","2016"
"2016","How to simplify if given a one to one function?","2016"
"2016","Proving the linear independence or dependence of a polynomial","2016"
"2014","union of two subspace of non-maximal dimension","2014"
"2013","Show that this set is linearly independent","2013"
"2014","Transformations and Null spaces","2014"
"2014","Can someone explain geometric multiplicity?","2014"
"2013","How do I calculate one of the points in a vector?","2013"
"2016","Union of two vector spaces","2016"
"2015","Prove that the set of functions $\{x, e^x, \sin(x)\}$ is linearly independent.","2015"
"2016","Similarity of products $AB$ and $BA$ of square matrices","2014"
"2014","Similarity A,B, and two other invertible matrices.","2014"
"2013","Restriction of dual basis to subspaces.","2013"
"2015","Does a decrease of an entry of symmetric non-negative matrix decrease the norm?","2015"
"2015","Is $y=mx+b$ linear?","2015"
"2016","Polar decomposition, positive-definiteness","2016"
"2013","invertible if and only if bijective","2013"
"2014","Diagonalising the symmetric Matrix","2014"
"2014","General nilpotent matrix to upper right matrix","2014"
"2013","Prove that $\operatorname{span}(v_1,v_2, \ldots, v_n)$ is subspace","2013"
"2013","how to show a scalar product defined by trace of matrices is non-degenerate","2013"
"2014","what is dimension of orthogonal complement of a subspace of a vector space.","2013"
"2014","Geometric intuition for linear independence","2014"
"2014","Self-adjoint matrices: prove that $\operatorname{Tr}\left((AB)^2\right)\le\operatorname{Tr}\left(A^2B^2\right)$","2014"
"2012","How can I normalize a percent to a value while still deriving results from the percent?","2012"
"2013","Definition of Vector Space","2013"
"2013","Product of bases of column vector spaces","2013"
"2015","Find 3 eigenvectors and rife vectors of rank 1 matrix","2015"
"2015","Restriction of a linear algebra to an affine subspace?","2015"
"2016","Inconsistent equations","2016"
"2015","Matrix multiplication and determinant question","2015"
"2015","Determinant Question.","2015"
"2013","Projection matrices inequalitites","2013"
"2013","Basis of a subspace of all continuous real-valued functions","2013"
"2013","finding determinant as an function in given matrix","2013"
"2016","Translating a worded question into a linear equation system.","2016"
"2014","Determining Linear Independence/Dependence & non-trivial solution.","2014"
"2016","Show that the map from $\Bbb R^2$ to $\Bbb R^3$ is not a homomorphism","2016"
"2013","what is the precise definition of matrix?","2013"
"2013","Multilinearity and Linear Algebra","2013"
"2013","Prove $W_1 \cap W_2 \cap W_3$ is non-zero.","2013"
"2015","rank of product of matrices","2015"
"2011","A ""geometric'' infinite sum of matrices","2011"
"2013","Dual space of a dual space = What?","2013"
"2016","Jordan Canonical form of $T(f(x))=f'''(x)+2f(x)$","2016"
"2015","Show that a positive operator is also hermitian","2013"
"2013","Why do elementary steps of elimination appear to fail for a system of equations with each term of degree 2?","2013"
"2013","Let $x, y, z$ be vectors in a vector space $V$ such that $x+y+z=0$. Show that $\def\sp{\operatorname{span}}\sp(x, y) = \sp(y, z)$.","2013"
"2014","Showing that this set of equations have a unique solution","2014"
"2015","The subset of all matrices where the sum of the entries in each row and column is zero","2015"
"2013","Given a basis B, and a transition matrix from B to B', find the basis B'","2013"
"2013","In diagonalization, can the eigenvector matrix be any scalar multiple?","2013"
"2015","Interpreting $\begin{bmatrix} 1 & 2 & 3 \end{bmatrix} \cdot h $ as a scalar or matrix multiplication","2015"
"2015","Prove that $\operatorname{null}T^m=\operatorname{null}T^{m+1}$ if and only if $\operatorname{range}T^m=\operatorname{range}T^{m+1}$.","2015"
"2015","How does the following line of code Simplify to ....?","2015"
"2013","Question on definition of quotient space of a vector space and notions","2013"
"2014","Linear functional equation","2014"
"2014","$Av = 0\iff v \perp\mbox{ rows of }A$. Why is this the case?","2014"
"2013","Orthogonal Projection Question in Axler:","2013"
"2013","Proving a Vector Space","2013"
"2013","Linear Transformation of polynomials","2013"
"2013","Definition of the Tensor Product","2013"
"2013","Are the eigenvalues of $A^\top A$ equal to those of $AA^\top$?","2013"
"2011","If the product of an invertible symmetric matrix and some other matrix is symmetric, is that other matrix also symmetric?","2011"
"2014","Linear independence question (do 2 vectors who are not multiples of one another and a third which is not in their span form R^3?","2014"
"2012","Speeding up Gauss Elimination","2011"
"2012","Linear independency before and after Linear Transformation","2011"
"2013","Give an example of a function $f:\mathbb{R}^2 \mapsto \mathbb{R}^2$ such that","2013"
"2013","The addition of linearly independent vectors.","2013"
"2015","Is a complex vector space closed under complex conjugation?","2015"
"2014","Find scalars $a_i$ not all $0$ such that $\sum_{i=0}^{n^2}a_i\begin{bmatrix}2 & 4\\0 & 2\end{bmatrix}^i =0$","2014"
"2014","Points of discontinuity","2014"
"2014","Let $A,B \in Mat_{n,n}(\mathbb R)$. Suppose $AB = 0$. Show $\operatorname{rank}(A) + \operatorname{rank}(B) = \operatorname{rank}([A^T|B])$.","2014"
"2013","span of $AA^T$ is the same as $A$?","2013"
"2013","invariant space and eigenvector","2013"
"2013","find X, such that U=VX","2013"
"2015","proof that every finite matrix has an annihilating polynomial","2015"
"2013","What is the difference between linear space and a subspace?","2011"
"2013","Linear transformation and eigenvalues","2013"
"2013","Kernel of Composition","2013"
"2014","Different basis over $\Bbb{R}$ and $\Bbb{C}$","2014"
"2014","Mathematical Induction on Matrix Sequence","2014"
"2016","How can I spot if two matrices are similar by just looking at them?","2016"
"2013","This operator is invertible","2013"
"2014","Is the solution to $AB + BA^T = C$ unique?","2014"
"2012","Simple vector inequality","2012"
"2012","Null Space of Differentiation Transformation","2012"
"2015","Finding shortest distance on earth","2015"
"2014","What does it mean to find a matrix of linear transformation in given basis?","2014"
"2013","Preservation of left nullspace?","2013"
"2014","prove if $AB$ is invertible, $A,B$ is also invertible.","2014"
"2016","geometrical explanation for dimension of a subspace","2016"
"2015","The dimension of a complex vector space seen as a real space","2015"
"2015","What is the advantage of Gauss-Seidel's Method","2014"
"2015","Let $A$ be the reflection of the plane $\mathbb R^2$ in the line $y=-x$. Find the matrix of $A$ in the standard basis $S=\{e_1,e_2\}$","2015"
"2016","Prove/disprove $||A^2|| \leq ||A||^2$ for a nxn matrix","2016"
"2013","Interpret the Parallelogram Law","2013"
"2013","How to find the coordinate vector of $\left[\begin{array}{r}x\\y\end{array}\right]$ with respect to some non-standard basis $\mathcal{B}$","2013"
"2016","Generalise Expression to slice Circulant Matrix","2016"
"2015","How to find the minimal polynomial when given only the characteristic polynomial?","2013"
"2014","Proving that the union of two vector sub spaces of the same space are not a sub space.","2014"
"2012","Show this equality is true for an orthogonal matrix","2012"
"2012","Solve for U confusion","2012"
"2013","how to interpret the solution of a linear system?","2013"
"2013","Quick method /Birds eye view to determine the value","2013"
"2014","Partitioned matrix of partitioned matrices","2014"
"2016","positive definiteness similarity","2014"
"2011","General Vector subspaces and how to find them?","2011"
"2011","Can it be determined that the sum of the diagonal entries, of matrix A, equals the sum of eigenvalues of A","2011"
"2011","Product of Matrices","2011"
"2013","Homogeneous Equations and Such","2013"
"2016","How to count number of sets of $d$ linearly independent vectors of length $n$ from $F_2^n$.","2016"
"2011","bi-linear forms and non-degeneracy","2011"
"2015","Cross product in $\mathbb R^n$","2013"
"2013","Let $V$ be the vector space of real polynomials of degree at most $2$","2013"
"2013","Vector space with multiplication","2013"
"2015","Motivation for some theorems on Jordan Canonical Form","2015"
"2012","Spanning a vector with no zero coordinates","2012"
"2016","I am confused by the statement ""the null space of A is a nontrivial""","2016"
"2016","Which of the following are subspaces of $\mathbb{R}^3$?","2016"
"2014","Prove that there is a subset of $T$, which, together with $S$, is again a basis of $E$.","2014"
"2011","What is the kernel of $I$ from $C$[0, 1] to $\mathbb{R}$?","2011"
"2011","Explain why a set of mutually orthogonal non-zero vectors is linearly independent given a clause","2011"
"2013","Projection linear transformation: explain the wording","2013"
"2015","Give a basis for the solutionspace (i.e. the Nullspace) of this system of equations and express the basis in terms of its basis elements","2015"
"2014","Angle between a vector and orthonormalized base vectors","2014"
"2014","Showing that a map, $R:\mathbb{R}^n\rightarrow\mathbb{R}^n$ can be represented by an orthogonal matrix.","2014"
"2016","Proof relating inverse to determinant","2016"
"2013","Dimension of the nullspace","2013"
"2015","Find Jordan canonical form with Kronecker product of JCF","2015"
"2015","What happens when you add linear operators or take one linear operator inside another?","2015"
"2015","Relation between $y=Ax_1$ and $y=WAx_2$","2015"
"2015","How to see this matrix equality","2015"
"2015","Circulant matrix : eigenvector","2013"
"2013","Contact transformations (definition)","2013"
"2013","$4\times4$ matrices minimal polynomial","2013"
"2015","Prove that $T$ is invertible if and only if $(T(v_1),\ldots,T(v_n))$ is a basis for $W.$","2015"
"2015","Diagonalization of restrictions of a diagonalizable linear operator","2014"
"2013","Find a polytope that contains all the points?","2013"
"2013","A question on Characteristic polynomial of complex $n\times n $ matrix","2013"
"2013","Question on finite dimensional vector space","2013"
"2013","$A$ be $n\times n$ matrix such that $A^2=I$","2013"
"2013","Let $T \colon \mathbb R^5 \rightarrow \mathbb R^5 $ be a linear transformation.","2013"
"2013","Finding the number of eigenvector(s) of non-zero linear transformation $T$ to $R$","2013"
"2014","What is Binary Operation -- is division a binary operation?","2013"
"2014","Why do complex eigenvalues correspond to a rotation of the vector?","2014"
"2015","Coordinate hyperplane","2014"
"2012","The best constant in an inequality","2012"
"2012","Linear transform of polynomials","2012"
"2014","Is the limit of the dual spaces the dual space of the limit?","2014"
"2014","How do I find every point that is an equal distance between two points on a plane?","2014"
"2014","Characteristic Polynomial on 4 by 4 matrix","2014"
"2016","How to show that the Row space of $V$ is the orthogonal complement of the Null space of $V$?","2014"
"2013","Is a linear tranformation onto or one-to-one?","2011"
"2011","Finding the implicit equation for a line","2011"
"2015","What is hyperspace in linear algebra?","2015"
"2015","If a vector $v$ in $\mathbb{R}^n$ is orthogonal to each vector in a basis for a subspace $W$ of $\mathbb{R}n$, then $v$ ...... .","2015"
"2015","Prove $(AB-BA)^2$ and $C$ commute in two dimensional space?","2015"
"2014","Linear Algebra - Adjoint","2014"
"2015","Find a linear transformation s.t the only invariant subspace is $0$ and itself","2015"
"2016","Why $x_{ss}$ is a polynomial in $x$ ?","2016"
"2016","Product of symmetric matrices $AB^2A$","2016"
"2014","$V1,V2,V3$ Orthonormal.","2014"
"2014","Linear transformations and change of basis","2014"
"2014","Given matrix $B =\begin{bmatrix}0&-1\\0&0\end{bmatrix}$, find $e^{Bt}$ from a short infinite series","2014"
"2013","Linear Independence by row space.","2013"
"2013","Solving $A^TAx=A^Tb$ without using $A^TA$ or its inverse","2013"
"2013","Points in $\mathbb{R}^3$ are coplanar and Determining Area of Triangle in $\mathbb{R}^3$","2013"
"2013","Is Lagrange interpolation formula not unique over a finite field?","2013"
"2013","determine matrix relative to new bases","2013"
"2016","Why determinant of a 2 by 2 matrix is the area of a parallelogram?","2011"
"2013","Prove that $V^* = W_1^0 \oplus W_2^0$.","2013"
"2014","Prove that the determinant of a transformation matrix does not depend on the basis","2014"
"2016","Determine which of the following mappings F are linear","2011"
"2011","If a matrix is invertible, is its multiplication commutative?","2011"
"2011","Representation of a reflection about a plane in $\mathbb{R}^3$","2011"
"2014","Do vectors $(\sin n x)_{n=1}^d$ always form a basis of ${\mathbb R}^d$ for $d$ distinct $x \in (0, \pi )$?","2014"
"2014","Symmetric bilinear form that is not diagonalizable","2014"
"2013","Matrix Inequality Existence","2013"
"2013","This inner product is positive?","2013"
"2013","Is there a way to determine which degrees of freedom are lost in a robot at a singularity position by looking at the jacobian?","2013"
"2013","Compute the image of the house under the transformation ABC.","2013"
"2013","$A$ skew-symmetric, then $x^T A^2 x \le 0$","2013"
"2015","$T:\Bbb R^2 \to \Bbb R^2$, linear, diagonal with respect to any basis.","2013"
"2013","Why is a positive definite quantity plotted as a negative number?","2013"
"2014","How to diagonalize an $N\times N$ symmetric matrix? ($N>3$, show an example of $N=5$)","2014"
"2014","Vector space with basis","2014"
"2014","prove $v_i=(1^i,2^i,\dots,n^i)$, $i=0,\dots,n-1$ a basis for real $n$-space","2014"
"2014","Show that $1$ is an eigenvalue of $A$","2014"
"2012","Generalized Eigenvalue Problem","2012"
"2014","Can someone help me understand Cramer's Rule?","2014"
"2014","Find all linear operators $ \widehat{A}\in\mathbb{V}_2$ which satisfy $\operatorname{ker}{\widehat{A}} = \operatorname{im}{\widehat{A}}$","2014"
"2011","Find an orthonormal basis of a plane","2011"
"2011","Constructing a basis using two vectors","2011"
"2016","Determinant of the Identity Matrix proof","2016"
"2016","Given $A \in R^{2\times 2}$, orthogonal matrix, and anti symmetric, find all $A$","2016"
"2012","Hermitian positive definite matrix","2012"
"2014","Rank of a matrix over $GF(2)$","2012"
"2012","Eigenvalues of a matrix of $1$'s","2012"
"2013","How to prove that the set $\{\sin(x),\sin(2x),...,\sin(mx)\}$ is linearly independent?","2013"
"2012","A problem about an endomorphism of the vector space $\mathrm{Mat}_2(\mathbb R)$","2012"
"2013","Question on a proof about the Rank of a Matrix","2013"
"2014","Finding the basis of a vector space out of matrices","2014"
"2014","Diagonalise matrix iff eigenvectors independent (True/False)","2014"
"2016","If eigenvalues are $\pm 1$, then matrix is orthogonal","2015"
"2013","Gauß-Jordan algorithm - 'reading' the solution","2013"
"2013","Dimension of $\text{Hom}(U,V)$","2013"
"2014","How many pivot columns","2014"
"2015","How many $4\times 3$ matrices of rank three are there over a finite field of three elements?","2015"
"2015","Finding basis for image and kernel of A = [x+y,x-y,x+z,x-z,x+y+z]","2015"
"2015","Orthogonal Complement and Direct Sum","2015"
"2015","Given a basis $B$ there exist a unique positive defined scalar product such that $B$ is ortonormal","2015"
"2016","Proving that the space of linear operators is linear","2016"
"2016","Prove a matrix is a generalized permutation matrix","2016"
"2015","write the vector equation of the plane with equation $2x-3y+4z=12$","2015"
"2013","Can a basis have dimension less than the space that spans?","2013"
"2015","Orthogonal Complement of Upper Triangular Matrices","2015"
"2014","A linearly dependent subset","2014"
"2014","Two subspaces of $\Bbb R^n$","2014"
"2012","Linear dependence of linear functionals","2012"
"2012","Finite set of matrices closed under multiplication","2012"
"2012","Show trace is zero","2012"
"2012","Linear algebra: orthogonal projection?","2012"
"2016","How to prove that $||M\vec{x}|| \leq c||\vec{x}||$?","2016"
"2012","Matrix inverse property, show that $(I + uv^T)^{-1} = I - \frac{uv^T}{1+v^Tu}$","2012"
"2013","vector inequality","2013"
"2013","Inferenecs from the given: x = nonhomogenous + homogenous solution solve Ax = b. (GStrang P161, Ex 3.4B.4)","2013"
"2014","Proving $\operatorname {rank} A + \operatorname {rank} B \le n $","2014"
"2015","Vector space span theorem","2015"
"2015","Basic encoding with math formula","2015"
"2014","product of two vectors equal a positive definite matrix?","2014"
"2016","Pseudo-inverse of matrix representation is matrix representation of pseudoinverse","2016"
"2011","Linear transformations and norm","2011"
"2015","Suppose that $W_1, W_2, ..., W_n$ is a family of subspaces of V. Prove that the following set is a subspace of $V$:","2015"
"2015","Elementary Matrix Problem","2015"
"2015","$V\oplus V^*$ acting on $\Lambda^{\bullet}V^*$","2015"
"2016","Why does a matrix with zero eigenvalues and nonzero singular values have to be non-symmetric?","2016"
"2015","Is there any application for a linear map from a lower dimensional space to a higher dimensional space?","2015"
"2016","Finding all chemical equations (Linear Algebra)","2016"
"2016","About the definition of the dimension","2016"
"2011","Basis for Kernel and Image of the following T","2011"
"2011","Left vs. right degeneracy","2011"
"2013","Reflect the Shape A in the line x = 1.","2013"
"2013","In a finite dimensional vector space a positive operator can have infinitely many square roots","2013"
"2013","Inner product - change of axioms","2013"
"2013","How to prove that $A^m$ is PSD","2013"
"2016","Write out linear mapping of $L:\mathbb{R}^3 \to \mathbb{R}^3$","2016"
"2012","Is the set $\{\frac{1}{a\,-\,\pi}\mid a\in\mathbb{Q}\}$ linearly independent over $\mathbb{Q}$?","2012"
"2012","Infinite dimension vector space decomposes into countable union of subspaces","2012"
"2013","linear transformation","2013"
"2014","What exactly are eigen-things?","2013"
"2013","$A$ be an $n \times n$ matrix and suppose that the system $Ax=0$ has the unique solution $x=0$.","2013"
"2013","Linear Transformation with Two Basis Changes","2013"
"2013","Orthogonal to two vectors(4D)","2013"
"2015","Prove that $\sin t,\, \cos t,\, t\sin t,\, t\cos t$ are linearly independent functions","2015"
"2015","Every eigenvector of $A$ is orthogonal to some eigenvector of $A^T$","2015"
"2014","Making sure I'm not doing something wrong","2014"
"2014","4 dimension hypercube -- identifying its 8 ""three dimensional sides faces)""","2014"
"2011","Is $\mathrm{End}(A) \cong A \otimes_k A^*$ for module $A$ over $k \in \mathsf{Comm}$","2011"
"2011","Prove a 3x3 system of linear equations with arithmetic progression coefficients has infinitely many solutions","2011"
"2014","Preserving Row Space","2014"
"2014","Find an integral matrix with all maximal minors = 1 or -1?","2014"
"2011","Given a matrix $A$ find a matrix $C$ such that $C^3$=$A$","2011"
"2011","Solving a complicated equation system","2011"
"2011","Expressing the product Ax as a linear combination of the column vectors of A","2011"
"2011","Finding the vector form of the general solution Ax = 0","2011"
"2015","If every vector is an eigenvector, the operator must be a scalar multiple of the identity operator?","2015"
"2015","Product of cyclic matrices","2015"
"2016","In 2x2 matrices, why is eigenvector for $\lambda_1$ contained in column space of $A-\lambda_2 I$?","2016"
"2016","linear algebra done right problem","2016"
"2016","Proving that $\|A\|$ is finite.","2013"
"2014","Finding ordered basis of two vector spaces","2014"
"2013","$A = BC$ matrix equality, can I consider $C$ as an output and analyse its behaviour?","2013"
"2016","Proving matrix similarity based on relationship between characteristic and minimal polynomials","2016"
"2011","Linear dependence of Functions that pass through the origin","2011"
"2016","A Vector of acute angle to all vectors in a set","2016"
"2014","If $A$ is a square matrix, then $A=P+Q$ for $P$ symmetric, $Q$ antisymmetic.","2014"
"2014","solve the equation for a: (matrix) = 10","2014"
"2015","Showing the polynomials are a basis of $P_2$","2015"
"2016","prove that $TS = ST$","2016"
"2016","If $X$ is a matrix, how can I find the cosine of the angle between a vector of all $1$'s, $\mathbb{1}_n$ and the row space of $X$?","2016"
"2015","If the dot product between two vectors is $0$, are the two linearly independent?","2014"
"2011","Linear algebra: showing that $M \subseteq N \Rightarrow N^0 \subseteq M^0$","2011"
"2014","the upper triangular matrix problem","2014"
"2016","Proof/Intuition for Eigenvalues to Solve Linear Differential Equations","2016"
"2016","Why is this set of polynomials linearly dependent?","2015"
"2015","Understanding Householder Transformations","2015"
"2014","inequality For the nonsingular upper triangular","2014"
"2013","Find the number of subspaces of 1-$\dim$ and 2-$\dim$ of a vector space with dimension $n$.","2013"
"2013","$f\colon\mathbb R^n \rightarrow \mathbb R$ be a linear map with $f(0,0,0,\ldots,0)=0.$","2013"
"2013","Let $P_3$ be the space of polynomials of degree $\leq 3$ . Find the kernel and the image of the linear map $f(x) \mapsto f(x + 1)−f(x)$","2013"
"2013","Rotations preserve cross products?","2013"
"2014","Completing two vectors into a basis of $\mathbb R^4$.","2014"
"2012","Existence of a symplectic orthogonal transformation between A and B","2012"
"2011","What does $V^*\otimes_\Bbbk V$ look like inside $End_\Bbbk V$ for infinite-dimensional $V$?","2011"
"2011","Isomorphic of (N,+)?","2011"
"2011","If $a\mathbf{x}+b\mathbf{y}$ is an element of the non-empty subset $W$, then $W$ is a subspace of $V$","2011"
"2015","Determinant of a adjoint","2015"
"2015","Given the adjoint $\mathrm{adj}(A)$, how do you find $\det(A)$ and $A^{-1}$?","2015"
"2015","Understanding Hyperbolic Householder Transformations","2015"
"2011","System of equations for a subspace","2011"
"2014","Kernels and Images","2014"
"2015","For a ult (unit low. tri.) matrix A, can we transform $[A|I]$ into $[I|A^{-1}]$ only using row operations that correspond to ult elementary matrices?","2015"
"2013","Matrix Diagonalization - Eigenvectors","2013"
"2016","difficult , classical?","2016"
"2016","Solve the following system of equations","2016"
"2015","Linear algebra: issue with question about rank and signature of quadratic form","2015"
"2014","Linear Independence for Column Vectors?","2014"
"2014","What values of $a$ make this matrix not invertible?","2014"
"2013","Help Understanding Proof of Replacement Theorem?","2012"
"2012","Block Determinants","2012"
"2014","If in an inner product space $\langle x,u\rangle=\langle x,v\rangle$ for all $x$, show that $u=v$.","2014"
"2016","Is the following matrix linearly independent or linearly dependent? Why or why not?","2016"
"2013","Clearing up a property of orthonormal basis","2013"
"2015","Some proprieties of the matrix $A^\top A$","2015"
"2015","Some proprieties of a peculiar scalar product","2015"
"2013","The existence of matrix","2013"
"2013","Linear Algebra, linear maps, kernels, and images","2013"
"2013","linear algebra, show B is a basis for $\mathbb{R}^3$","2013"
"2014","Linear transformation with the matrix $A$ (mirroring in a plane). Show that $AA = E$.","2014"
"2015","Is it true that $\operatorname{rank}(M) = m$ if and only if $\operatorname{det}(MM^T) >0$?","2015"
"2015","Unsure what is meant by ""driving variables""","2015"
"2013","Prove that $(1, i);(1,-i)$ are characteristic vectors of $\begin{bmatrix} a & b \\ -b & a \end{bmatrix}$","2012"
"2012","Complex matrices with null trace","2012"
"2014","Isometry $\tau:V \to V$, not surjective","2014"
"2015","Why don't $A^TAx = A^Tb$ and $Ax=b$ have the same solution?","2013"
"2014","Existence of a basis for a given transformation matrix","2014"
"2015","Diagonalization: Eigenvalues Vs Elementary Row Operations","2015"
"2013","A bilinear map's rank","2013"
"2013","Column Space of A","2013"
"2013","What is the column space in a $5\times 5$ invertible matrix?","2013"
"2014","LINEAR MAPS and their representation in ordered tuple","2014"
"2014","$2\times 2$ matrices over complex numbers","2014"
"2015","A problem related to hermitian and unitary matrix","2015"
"2014","Solve the matrix equation $[I+X(I-ST)^{-1}S](I-TS) = I$","2014"
"2013","Set of functions as a vector space","2013"
"2013","Vandermonde matrix rank","2013"
"2013","A problem in linear algebra about diagonalizable operators","2013"
"2013","Symmetric matrix and determinant","2013"
"2016","Prove that determinant of transpose is the same as determinant using wedge product","2016"
"2016","Prove there exists a basis $v_1, \dots, v_5$ of $\mathbb{R}^5$","2016"
"2016","Find a matrix $P$ such that $P^{-1} AP$ is diagonal","2016"
"2016","Prove for any basis $v_1, \dots, v_n$ of $\mathbb{R}^n$ and invertible $m \times n$-matrix $A$ that $Av_1,\dots Av_n$ is a basis of $\mathbb{R}^m$","2016"
"2015","Finding the possibilities of Jordan Canonical Form When Given Characteristic Polynomial","2015"
"2016","Writing the solution set(s) of the equation $Ax = 0$","2016"
"2013","Proof: If the dual map $f^*$ is the null map, then $f$ is the null map","2013"
"2015","$(\lambda I-A)\vec{x}=\vec{0}$ from $A\vec{x}=\lambda\vec{x}$","2015"
"2015","Volume of a parallelepiped in $\mathbb{R}^4$","2015"
"2013","Show that $\dim(U + V) = \dim(U) + \dim(V) - \dim(U \cap V)$","2013"
"2016","Linear independence of projection matrices","2016"
"2016","Diagonal Matrix, just eigenvalues?","2016"
"2015","T-invariant subspaces","2015"
"2011","Geometric and analytic multiplicity of a linear operator","2011"
"2011","Finding a basis for all polynomials $f(t)$ of degree 3 such that $f(1)=0$ and $\int_{-1}^{1} f(t) dt$=0","2011"
"2013","Change from orthonormal basis to right-oriented orthonormal basis","2013"
"2014","Calculating trendlines using slope and y-intercept","2014"
"2015","Symmetric matrix in $\mathbb{Z}_{2}$× $\mathbb{Z}_{2}$","2015"
"2014","Linear Algebra - Find the kernel of $T$","2014"
"2016","Positive definite matrix proof - why $z^TUDU^Tz \underset {2} = \sum{d_i[U^Tz]^2_i}$ holds","2013"
"2012","Linear algebra and arbitrary fields","2012"
"2011","What is happening in a linear algebra computation?","2011"
"2013","Regarding eigenvalue equation in a matrix vector space","2011"
"2011","Show that $L$($\vec{x}$)=$A\vec{x}$ from $Im(A^{T})$ to $Im(A)$ is an isomorphism","2011"
"2012","Parametric Plot for Ellipse","2012"
"2015","How to prove rigorously that you need $m \geq n$ equations with $n$ unknowns to be able to solve a system of equations?","2015"
"2014","Show that a vector space $V$ is isomorphic to $U\times(V/U)$","2014"
"2014","Inverse not adding up","2014"
"2011","Rank-nullity depends on the existence of a Hamel basis?","2011"
"2016","Finding equation of a circle","2016"
"2015","Basis of a polynomial vector space","2015"
"2013","Finding a genterating set for the null space of T","2013"
"2016","Show that $W_1 \subset W_2$ if and only if $W_2^0\subset W_1^0$","2016"
"2012","Singular values of transpose same?","2011"
"2015","This proof from the textbook that the number of columns of a matrix equals its rank plus its nullity does not make any sense...","2015"
"2015","Transforming the quadratic form $x_1x_2 + x_2x_3 + x_3x_1$ to its normal form.","2015"
"2012","Floor tile problem","2012"
"2012","Leslie Matrix characteristic polynomial","2012"
"2016","What is the calculation behind this linear algebra basic question?","2016"
"2016","The first 'primordial' basis of a finite vector space","2016"
"2011","Generalizing an orthonormal basis for $C[a,b]$","2011"
"2013","Is a full semester of Linear Algebra really needed if I want to specialize in computer graphics?","2011"
"2011","Explicit form of one isomorphism","2011"
"2015","How to determine the sign of the eigenvalues of this $3\times3$ symmetric matrix","2015"
"2015","Dimension and Spanning","2015"
"2014","Why such a vectors are linearly independent?","2014"
"2014","Question about a general form of invariant subspace of diagonalizable operators","2014"
"2015","Why do we parameterize our solutions/equations?","2015"
"2015","Find a base of the image of an inverse linear map","2015"
"2013","How do we prove that the left singular vectors form a basis for the column space of $A$?","2013"
"2011","Going from individual elements back to to matrix/vector notation","2011"
"2011","Eigenvectors of real symmetric matrices?","2011"
"2014","Angle between two position vectors","2014"
"2015","gram-schmidt with polynomials","2015"
"2014","Need help in finding a basis for a subspace defined by a function","2014"
"2013","Conjugate transpose of a matrix","2013"
"2013","Composition of orthogonal projections","2013"
"2013","Unitary space, inner product","2013"
"2015","Symmetric positive definite with respect to an inner product","2013"
"2011","If c is an eigenvalue of $A$, is it an eigenvalue of $A^{\mathbf{T}}$?","2011"
"2016","Find the minimum of the function $f(x_1,x_2) = (x_1 + x_2 + 3)^2 + (3x_1 + x_2 - 1)^2 + (2x_1 + x_2 + 1)^2$","2016"
"2015","Prove that: if $T$ is an irreducible linear operator then $T$ is cyclic","2014"
"2015","About finding $2\times 2$ matrices that are their own inverses","2013"
"2016","Geometric interpretation of the quotient vector space","2016"
"2016","Let $B$ definite positive matrix and $\theta$ is the angle between $v$ and $Bu$. Show that $\cos \theta \geq \frac{1}{M}$","2016"
"2016","Show that the vector space of all continuous real-valued functions is infinite-dimensional","2016"
"2013","Given a linear transformation matrix, T, find the equation for the curve that T transforms a circle into.","2013"
"2013","Suppose that a $3\times 3$ matrix $M$ has an eigenspace of dimension $3$. Prove that $M$ is a diagonal matrix.","2013"
"2015","Calculate numeric solution to equations","2015"
"2016","Bases for space of polynomials","2016"
"2012","How to draw an ellipse using its center and two points on its perimeter","2012"
"2016","Intersection of subspaces by construction","2016"
"2016","How to calculate the lens distortion coefficients with a known displacement vector field?","2013"
"2016","What can be said about $x^TAx$ is terms of $\|x\|$?","2016"
"2012","Is $\mathbb{R}$ a vector space over $\mathbb{C}$?","2012"
"2016","Help in a demonstration of a theorem in Hoffman and Kunze's linear algebra book (theorem 13 section 1.6)","2016"
"2015","Find a dimension and basis of W as a subspace of the vector space $\Bbb P^3$ where $W = \{c + cx^2 + dx^3 \mid c, d \in \Bbb R\}$","2015"
"2016","Distance to subspace spanned by two vectors","2016"
"2016","Prove that the map $\phi: V \rightarrow V^*$ is injective","2016"
"2015","""logarithmic"" linear spaces","2015"
"2014","Show that dim$(U \cap V) \ge 2$ if U and V are 3-dimensional subspaces of $ K^4$","2014"
"2014","Proving statement similar to primary decomposition theorem","2014"
"2013","Largest eigenvalue of a real symmetric matrix","2011"
"2015","prove that if U is a subspace of the finite dimensional vector space V such that dimU=dimV then U=V","2015"
