Title,initial
"Coin tossing problem","2013"
"Probability of getting 3rd club on 21st draw without replacement","2014"
"probability of a certain presidential ancestry","2014"
"probability distribution of X+Y","2014"
"Average number of tosses to WIN the gambler's ruin game.","2016"
"advanced coin tossing probability","2013"
"amount of chips required to insure that a least 90% of the time 12 are nondefective","2011"
"I don't understand why the solution to this probability question is set up in this manner","2014"
"$X_1$, $X_2$ i.i.d., prove that $E(X_1\mid X_1+X_2) = E(X_2\mid X_1+X_2)$","2015"
"How does the author of this probability book claim that a one-to-one function is invertible without showing it's onto?","2015"
"Probability question is this correct?","2013"
"Probability of Profitability","2011"
"probability question","2013"
"Probability problem : A lot of 100 bulbs from a manufacturing process is known to contain 10 defective and 90 non ...","2013"
"probability that 5 square lie along a diagonal line","2013"
"Question on $\sigma -$algebra generated by 2 set.","2016"
"Which outcome will occur first [explanation]","2016"
"Expected Value Question with Money","2016"
"Independent Probability -- Chance of failure","2014"
"Calculating probability of winning best-of-7-games tournament. Why is my method wrong?","2016"
"Battleship, size matter?","2014"
"Probability when considering multiple independence","2014"
"Probability of ""clock patience"" going out","2011"
"What are the odds of never losing in a loaded coin game?","2011"
"Two groups of numbers with close sums","2016"
"Probability question (CDF , PDF etc)","2012"
"Probability for intersection of sets","2013"
"Probabilities of one-off events","2013"
"Life contingencies problem - Probability of dying at age $60$","2013"
"what is the expected maximum number of balls in the same box","2011"
"Independent Event Complements","2014"
"Probability toss a sequence of coins","2016"
"Ordering Books On a Shelf","2015"
"Probability using bayes' theorem and without using bayes' theorem - part 2","2016"
"In a craps game, is the expected number of rolls to win greater for the house or the player?","2016"
"The minimum of two brownian random","2016"
"probability without combinations","2016"
"What is the probability that the system is working?","2013"
"Question about conditional probability identity","2013"
"$A$ tosses a fair coin $n+x$ times, $B$ tosses a fair coin $n$ times","2013"
"Probability question regarding Chebyshev's inequality","2013"
"Sum of normally distributed random variables","2014"
"cumulative distribution","2014"
"Prove: If $\int f d\mu = \int f d \nu$ for all $f$, then $\mu = \nu$","2011"
"Probability - Contraception","2011"
"Probability of exactly one event occurring out of a sequence of events when only knowing the probabilities in their individual sample spaces","2014"
"How many ""Two pair"" poker hands are there in a standard deck?","2014"
"Probability: Two people get multiple choice questions","2013"
"Flipping two coins, what is expected number of events 'til both are heads?","2016"
"Solving cumulative distribution: difference between with and without replacement","2015"
"Put a white ball into a basket, then take out a white ball. Is the remaining ball white?","2011"
"Probability of throwing balls into bins.","2015"
"About F measurable","2014"
"Empirical probabiliy: If an event has happened,how can there be any probabiliy?","2015"
"General function definite integration result in probability understanding (CDF)","2015"
"Calculating Poker Outs % for the Turn and River","2016"
"Probablity of three-of-a-kind or better in a roll of four dice","2014"
"Probability That One Player Gets All 13 Cards Of The Same Kind","2014"
"What is the probability that a player will receive a red card over the course of the season","2015"
"How many players needed for the game to have the highest probability of finishing the fastest?","2014"
"Finding probabilities for a discrete random variable using a CDF","2013"
"Sum of two Beta distributed random variables","2014"
"How do you describe the sample space of a lottery (49 balls, 6 draws without replacement)?","2015"
"How to derive Marginalization?","2012"
"Cards Probability and Combination","2014"
"Bounded transformation gives first moment: $E h(X) < \infty?$","2016"
"A king has n children, at least one of them is a daughter. What’s the probability that all of them are daughters?","2015"
"Probability of observing car in particular time","2015"
"Probability and range partition","2014"
"Family with two boys","2013"
"Probability of Heads in a coin","2012"
"Seating of $n$ people with tickets into $n+k$ chairs with 1st person taking a random seat","2013"
"When will a community end?","2013"
"probability for selecting $2$ integer out of $40$ such that there sum is odd","2013"
"A game with $n+1$ players and a price $\textbf{B}$","2016"
"The expected value doesn't seem to match logic","2016"
"Probability to win a chance game","2016"
"Help with conditional probability?","2013"
"Probability of a m-long cycle","2014"
"Inclusion Exclusion Principle (Probability) Problem: What is P(Rain)?","2014"
"The probability of a die rolling a given number at least $x$ times over the course of $n$ rolls","2014"
"N points on a Circle","2011"
"question about conditional probability for continuous r.v","2011"
"a question related to two competing patterns in coin tossing","2011"
"Birthday problem - men and women","2014"
"Children probability problem","2014"
"How Does Independence Affect Cardinality?","2013"
"probability and bayes' theorem","2016"
"Calculate a Probability Of Computers Being Down","2013"
"a coin toss probability question","2011"
"Coupon Collecting Problem using Inclusion-Exclusion","2014"
"Probability of having at least one table with $n$ customers","2016"
"Why is the expected value $E(X^2) \neq E(X)^2$?","2012"
"Probability of Team A shooting a given percentage from 3-point range","2014"
"Finding probabilty of of getting heads of an unfair coin.","2016"
"What is the connection betweeen birthday paradox and sublinear sortedness testing","2016"
"Expected number of close pairs","2011"
"Probability of throwing missiles ""all at once"" and ""one by one""","2016"
"Probability problem of 220 people randomly selecting only 12 of 35 exclusive options.","2012"
"finding the probability of A happens before B in die rolling","2015"
"Conditional probability for classification","2015"
"What is the probability of picking a random number from 1 to 100, 100 times, and getting each number from 1 to 100?","2015"
"What is the expected number of steps in the following process?","2011"
"Probability Question - Pls help","2015"
"Probability: Draw your own card","2014"
"What is the probability that the first ace in a deck is the 30th card?","2014"
"conditional probabilities with intersections","2016"
"I am stucked in some of this question about sample space and probability","2016"
"Probability of coin arrangement","2013"
"Conditional probability with pigs and cherries","2014"
"A bag of marbles has 12 red, 7 yellow, 5 blue and 1 white. Find the probability of selecting 4 marbles from the bag where all 4 are red.","2015"
"Probability of winning a tournament by winning all matches in tournament","2015"
"Calculating odds of a dependent series","2014"
"Calculating independent indicator random variables","2015"
"Probability of presence of not defective products in a pack.","2015"
"Find probability that $X\sim Geom(p)$ is even","2015"
"Solving the Expected Value","2013"
"Finding Future probability of results within a group of numbers","2016"
"Intuition for behavior of Chebyshev bound","2014"
"Probablity question with unknown distribution function.","2013"
"What does this conditional probability mean?","2014"
"Conditional probability, balls, urns and a coin","2014"
"Conditional probability/Bayes Theorem Question","2013"
"Expected Number of Loops from $n$ Ropes","2016"
"Probability is $ \le \frac{1}{4}$","2013"
"Actuarial Question on finding frequency distribution of unknown distribution after change in deductible","2015"
"Probability of multiple classification results being incorrect","2010"
"CDF of the distance of two random points on (0,1)","2013"
"probability regarding three people throwing a die","2013"
"Standard deck of cards, full straight flush probability question","2015"
"Conditional pdf","2013"
"Expected amount of number one can add before reach n","2011"
"Finding the number of frogs in a pond","2016"
"A problem of calculating sum in probability","2015"
"Find the value of the expectation $E(X)$ of the following distribution.","2016"
"an exercise related central limit theorem","2015"
"Notation and a problem with Aleatory variables (Advanced Probability)","2015"
"Distribution of the heads-tails difference after three coin tosses","2015"
"Find the probability that the second ball is red","2016"
"What is the expected distance between these two points?","2015"
"Expectation of $ X(X - 1) \ldots (X - k + 1) $, where $ X $ has a Poisson distribution.","2013"
"A question in Probability, risk of lung illness","2011"
"Sequence of events probability proof","2011"
"Probability of exactly R runs of M consecutive success","2011"
"Uniform infinitesimality Condition and convergence in distribution to Gaussian distribution","2013"
"Expected Value and Dice","2014"
"Probability theory- Does modern probability theory give a clear and unambiguous answer to the MontyHall problem?","2014"
"Modified two child problem. Find the probability that both are girls, given that at least one is a girl born in March.","2012"
"Whats the probability I roll a 2 on one of the dice if the sum rolled is 8?","2016"
"Mathematical odds of picking letters","2014"
"What is the probability of a number from 1-25 being an odd number or a factor of 20?","2014"
"What's the probability of the max segment is equal to k?","2011"
"Comparing Poisson variables","2011"
"Expected Value of Binomial Probability Distribution - Issue with Notation","2011"
"How to calculate the probability of a 2 sigma event that happens more frequently","2015"
"Probability- Guessing names of people","2015"
"Eigenfunction expansion with Markov operators","2011"
"Office sweepstake odds","2014"
"Five different pairs of shoes in a box","2015"
"Two color balls and box, draw with replacement only in part of cases","2012"
"Probability of the last remaining item after removing items","2013"
"Calculate the probability that the running total is exactly n. (homework help)","2016"
"conditional probability (discrete case).","2016"
"Conditional probability and joint probability","2015"
"Calculating probability of getting $m$ unique numbers when choosing $n$ times from $0\ldots k$","2015"
"Finding the Expectation of a random varialble.","2015"
"Poisson distribution","2013"
"what is wrong with this reasoning?","2011"
"For two independent events $A$ and $B$, find $P(A \cap B^c|A \cup B) $","2016"
"Joint Probability: $P\{X>Y\}$","2013"
"Probability of Two Things Happening?","2016"
"the expectation of a chocolate bar","2011"
"optimal sequential wagering strategy to reach a high target payoff in minimal amount of time","2015"
"Applying the Bayes Theorem Correctly","2015"
"Poisson Conditional probability distribution","2013"
"Highschool Probability: Chances of player winning","2015"
"Conditional PDFs from a Derived Variable","2015"
"Conditional expectation of independent random variables","2014"
"How to find the proper $\alpha$ to satisfy the 80/20 rule for the Paretor Distribution","2014"
"Proof of $|P(X\in C)-P(Y \in C)|\leq P(X \neq Y)$ where $C\subset \mathbb{N}$?","2014"
"Probability that $a^2 \equiv 1 \pmod{10}$ when $a$ is chosen randomly from a set","2013"
"Odds in an ideal world","2016"
"Two tower problem","2016"
"Kolmogorov complexity of $n$","2013"
"Application of Chernoff Bound","2014"
"Sample space for sampling from (a large) student population...?","2015"
"Expected value problem, balls in a box","2013"
"Select a random hyperplane","2014"
"What is the probability of getting multiple choice question correct","2016"
"Expectation of $\max(X-K,0)$","2014"
"Cardinality of the intersection of two random sets","2015"
"Getting the Probability Mass Function of Derived Random Variables","2015"
"""Standard error"" of a sample's 90th percentile for a normally distributed population","2016"
"Probable number of missing records","2016"
"Independence of a certain Linear combination of random variables","2013"
"Computing $E[X^2 \mid X > \frac{1}{2}]$ given $f(x)$ & Conditional Distribution Question","2015"
"Geometrical probability distribution","2014"
"What is the probability of rolling a specific number with a 6-sided die after $n$ throws?","2015"
"How many papers should the news boy stock?","2015"
"Given probability of two elements being same in a list, find total number of unique elements","2015"
"Where did I go wrong? Show $P\{S_n≥x\}=P\{S_n≤-x\}$ if $X_i$ and $-X_i$ have the same distribution","2015"
"How do you calculate the probability when you don't know how many trials will be held?","2016"
"Calculate probabilities of success, collision, and Idle","2016"
"This is question 3.3 from Alan Karr's Probability","2014"
"What is the probability that $7$ cards are chosen and no suit is missing?","2016"
"Choosing randomly integers from $1$ to $10$","2015"
"How do I find this probability","2014"
"Find the probability that a duel ends after the $n^{th}$ round of shots.","2015"
"Roll 10 fair die. What is the probability that the number 1 appears exactly four times, on four consecutive rolls","2016"
"The sum of normally distributed random variables.","2015"
"Poisson Distribution - Conceptual Question","2013"
"Finding covariance from marginal densities.","2013"
"Probability (Please let me know if its correct)","2013"
"Probability 13th Birthday Occurs On Friday the 13th","2015"
"Analysis of board game die rolls violates intuition","2015"
"Misanthropic Neighbors","2016"
"What is the probability of getting 2 same colour sweets and 1 different colour sweet?","2016"
"Poisson process problem; joint and marginal distributions of time till first event","2015"
"Odds of turning all the columns in solitaire without drawing from the pack","2013"
"Probability of transfers","2014"
"Probability of game ending with 10 quarters and 5 dimes?","2016"
"Help on calculating variance and standard deviation - tossing a ring","2014"
"If we toss one coin twice, what would be the Sample Space?","2015"
"Double urn probability and multiple instances","2015"
"A fair coin is continually flipped until heads appears for the 10th time. Find the number of expected tails","2016"
"I cannot figure out part a) ii) and iii) in the following question","2016"
"What is the expected determinant of a symmetric $2\times2$ matrix, whose three elements are distinct and draw from$ [-n,n]$","2016"
"Positive Expectancy with Random Chance","2016"
"Independence of sum and difference for random vectors","2015"
"Calculating variance","2013"
"probability of passing an exam (continued)","2012"
"Probability of an observation message","2012"
"Exponential Distribution of Independent Events","2013"
"How do I find $E[X_1|X_1<X_2]$ when $X_1$ and $X_2$ are independent $N(0,1)$ random variables?","2014"
"Uniform random variable problem","2013"
"What is the probability of success given two trials with a 1/16 chance each?","2011"
"For $x \sim $ exp","2014"
"Estimate total song ('coupon') number by number of repeats","2012"
"One of two unfair coins arbitrairly chosen and flipped 10 times.","2015"
"When does pairwise independence imply independence?","2014"
"Finding the probability of exactly one event in a series of independent events, why used (-1)?","2014"
"A family has three children. What is the probability that at least one of them is a boy?","2014"
"How to find the probability of a family having two boys out of three?","2012"
"finding probability generating function of odd values of $X$","2014"
"Probability of a two-headed coin given a few sample flips?","2011"
"Limiting distribution of a squared sum of random variables","2011"
"Conditional density function of gamma distributed R.V.'s, ${\Gamma(2,a)}$","2013"
"A box contains 5 blue balls, 4 red balls and 9 green balls. A person takes out 3 balls from the box.","2015"
"Sum of random number of random variables","2013"
"Consider the continuous random variable X that has the following density function","2013"
"fairness problem. Probability without replacement","2015"
"Meaning of estimation?","2013"
"Compression of equations and coincidence?","2012"
"Permutations and Dice","2013"
"Probability using indicator function","2016"
"Difficulties understanding a problem related to the law of total probability","2015"
"Find variance for $X$ such that $0 \leq X \leq 1$.","2016"
"What are the odds of the pattern ""2 black, followed by 2 red"" occurring in a roulette game?","2013"
"An urn contains 2 white and 2 black balls. Balls are drawn successively at random without replacement.","2015"
"What is the probability of 4 out of 25 are intoxicated","2014"
"prob of obtaining the second ""female"" card before third ""male"" card?","2014"
"expectation and variance problem","2013"
"Probability of intersection in conditional probability","2016"
"Simple Conditional Probability","2016"
"Number of times you can play a game in an hour?","2013"
"How to understand logit results?","2014"
"Help discuss why a probability is incorrect.","2015"
"Can a sample space consist of only the empty set?","2015"
"Math question probability $P \{|X- E(x)| <3\}$","2013"
"I want to find out the probability of a very low probable event through simulation. What are the applicable techniques?","2014"
"Class divided into 5, probability of 2 people in the same team","2014"
"Probability task (Find probability that the chosen ball is white.)","2013"
"Overtaking Probability","2011"
"Bayesian classifier to predict user behavior","2011"
"eigenfunction summation","2011"
"How to approach this conditional probability question","2016"
"expectation of effective sample size","2014"
"Binomial Random variable. An At-least Question","2014"
"What are the odds of flipping a coin 100 times and seeing HHHHT?","2016"
"Finding the expectation and characteristic function of a mixed distribution.","2013"
"Rate of convergence of random series","2015"
"Probability of a boring afternoon","2015"
"Intersection of the probability of independent events","2015"
"probabilty problem how to solve","2013"
"Fair die being rolled repeatedly","2014"
"Is the $P(\text{You Die})=1$?","2016"
"Probability - Is my answer ok?","2013"
"$R^2$ is uniform on (0,1)","2014"
"subsets probability question","2012"
"probability of passing an exam","2012"
"Does repeated activity increase the probability of a specific event happening?","2011"
"Ball and urn with dice problem","2015"
"Probability, integers and reals (soft question)","2013"
"using the probability density function to find the distribution function and determine certain x values","2011"
"Intuitive idea of Expectation of random variable?","2011"
"Why is $P(A\mid B)=\sum_{i=1}^n P(AB_i\mid B)$?","2015"
"Conditional probability: compute $P(B)$ when $P(B|A), P(A'|B)$ and $P(A)$ are given","2016"
"Does the probability of ALREADY have won the lottery increases the more you play?","2016"
"Firm has complaints, probability","2015"
"Show that a given function of $\phi(x)$ and $\Phi(x)$ is a probability density function","2015"
"How many ways can a couple be among $15$ people chosen from $60$?","2015"
"A probability problem about a thief?","2016"
"How do I find the probability of these two events?","2016"
"The probability of getting more heads than tails in a coin toss","2013"
"Deriving an equation","2013"
"Balls in Boxes Probability","2016"
"The probability of 3 names begin with the same letter","2016"
"Probability question/""puzzle""","2013"
"Probability puzzle - the 3 cannons","2013"
"variation of Birthday paradox","2011"
"Comparing two probability","2016"
"Expected number of drawings to find collision","2015"
"When will one maximum turn into three maximums?","2015"
"Using CLT to calculate probability question","2015"
"3 balls drawn from 1 urn - probability all same color (with/without replacement)","2013"
"Box with N two-color balls, randomly chosen, with and without returning","2012"
"probability - An urn contains 3 white balls and 4 black balls. Second urn contains 6 white balls and 4 black balls.","2014"
"Solution to simple Probability problem","2014"
"Refining the central limit theorem on discrete random vars","2011"
"Calculate Probability Of Winning At Roulette Using Poisson","2013"
"Probability of member of Group being in Subgroup","2016"
"Probability - Why is my answer wrong?","2013"
"Probability, Statistics - Whats the answer?","2013"
"A pack of 10 electronic components is known to include 3 defectives.","2015"
"Arranging 7 rows of 3 motercycles of 5 different types and 4 different colours","2013"
"Circular permutations with opposite gender sitting together","2014"
"How do you write the pmf of a sum of Bernoulli random variables?","2012"
"Looking for intuition behind coin-flipping pattern expectation","2012"
"What is the reality behind conditional probability?","2016"
"Finding the probability that two sets of numbers chosen randomly from the same set have the same numbers","2016"
"probability to finding an answer in a book","2015"
"Binomial-Like Distribution with Changing Probability","2013"
"Sum of Poisson random variables and using normal approximation","2014"
"Probability of 3 people in a room of 30 having the same birthday","2011"
"How Independence and Mutually Exclusive connected?","2015"
"Expected number of matches when two shuffled rows of $52$ playing cards are lined up","2015"
"Probability that 1,2,3 and 4,5 lie in a seperate cycle of a permutation from 1 to 100","2014"
"A samurai cuts a piece of bamboo","2011"
"Does the independence of A with the union of B and C imply the independence of A with B and A with C?","2016"
"I throw $4$ dice, what is the probability of having at least one $6$?","2016"
"""Expected Probability"": Withdrawing a white ball from a bucket with a random variable X = number of whites","2013"
"What's probability of getting head on coin flip","2014"
"fair value of a hat-drawing game","2011"
"Covariance and inner products","2015"
"Probability taking out two balls from an urn","2016"
"What is the probability that the sum of the die rolls is odd?","2016"
"distribution of the index of the maximum of n correlated standard normal variates","2014"
"Probabilities of obtaining k∈{0,1,2,3,4} white balls","2013"
"Holding Time for Birth and Death Process","2013"
"Probability $Pr(W<R)$ of two Normal Random Variables $W$ and $R$.","2016"
"Probability of number drawing","2014"
"Conditional probability. What is the meaning of this explanation?","2013"
"Central Limit Theorem","2011"
"probability - what is $|X|$?","2011"
"Red and Blue Balls","2016"
"Urn with b*r balls","2016"
"Probability of cells on a grid with axis probability known","2014"
"Are multiple-prize raffles inherently unfair to non-top prize winner?","2016"
"Probability: (Imagine a 10 sided die) How would I calculate the probability of NOT rolling #1 (of the 10 sides) over a total of 100 roles?","2016"
"Conditional probability question?","2013"
"A lower bound on the probability that a variable is 3/2 times the expected value","2011"
"3 other extensions of the Secretary Problem","2011"
"Basic probability question (coins)","2014"
"Ball probability question","2014"
"How can I prove this $P(A)=P(A \cap B)+P(A \cap B^c)$?","2015"
"Celebrate birthday of $12$ strangers","2016"
"Months containing different birthday","2016"
"How biased is this biased coin","2015"
"Subtle nuances of probability. Family with three children.","2013"
"probability of $A\cup B = X$","2013"
"Probability of two persons to meet","2014"
"shoes probability for finding exact k pairs of shoes","2013"
"How long will it take to get 10 heads in a row flipping coins?","2013"
"Confused about classical Roman life expectancy","2016"
"Probability of hitting a target?","2012"
"The probability of getting exactly one error-free submission in a day","2015"
"about Bochner–Khinchin’s Theorem for characteristic function","2016"
"Are two independent events $A$ and $B$ also conditionally independent given the event $C$?","2013"
"Strategy for choosing lottery numbers when buying many tickets","2015"
"Dice Roll Probabilities","2015"
"Probability and Stats (loaded coin)","2015"
"Is this always true: $P(A|B) = 1-P(A^c|B)$?","2014"
"Thinking about a probability problem in terms of sets.","2014"
"Expected deviation of a coin that obeys the gambler's fallacy","2014"
"Using Chebychev's inequality to solve this problem","2015"
"Coin toss how fair is the coin?","2015"
"moment-generating function","2015"
"Probability of being at a given distance away from expected value","2015"
"A box with 10 balls,6 black and 4 white.3 are removed ,no observing their colors","2012"
"Help with homework proof Probability","2014"
"Expected value of Stock Price","2012"
"Is this probability statement true?","2014"
"What is probability that a sample covers all classes?","2014"
"Probability in deck of only face cards.","2014"
"Probability of nth failure on nth attempt","2011"
"What is the PDF of a function with 2 variables?","2014"
"probability that you get one ace and the rest are face cards if you are dealt with 5 cards from a Standard Deck","2016"
"Gaussian distribution proof","2016"
"relationship between mean and relative standard deviation","2014"
"poisson distribution question","2012"
"2 people on a random walk","2012"
"Probability of a baseball team winning next 2 games","2012"
"given vector a, how to find vector b such that inifinitive norm of $a -b$ is smallest","2012"
"Quotient of standard uniformly distributed random variables","2016"
"Expected value and variance of $X$","2013"
"a probability problem on summation of random variables","2013"
"what is the probability of BOB winning the game?","2016"
"Probability of a particular event happening after infinite attempts","2015"
"A question about conditional independence","2013"
"If $X\sim X^{-1}$ does $\text{Var}(X)=0?$","2014"
"Two dice are rolled, what is the probability that the minimum value of the two dice is $3$?","2014"
"Almost sure convergence of a sum of truncated dependent variables","2015"
"Probability of sum of normal distribution","2014"
"Should the values be rounded in this probability question?","2015"
"If $E(X^2)$ exists, $E(X)$ exists","2013"
"independent random variables geometric distributon","2013"
"If the sum of 5 natural numbers is 50, find the probability that the 5 numbers are even.","2015"
"Why does |A1|=18 and |A2|=6 in this rolling a die random variables question?","2015"
"Finding mathematical expectation","2013"
"Normal and Poisson Approximation","2015"
"Estimating maximum value of random variable","2012"
"Expected number of coin flips for heads","2015"
"Finding the average sum of 15 numbers out of 100 numbers","2014"
"2 attempts to draw 2 kings","2015"
"Correlation between Poisson and conditionally binomial random variables","2015"
"Need help in verifying that my reasoning is right on operations with probability sets","2014"
"If this warped coin is flipped 5 times, what is the probability that more heads than tails occur?","2013"
"What's the probability that we don't have $3$ consecutive heads in $n$ tosses?","2016"
"Probability of a specific outcome","2014"
"What are the odds of hatching 11 roosters and 1 hen?","2014"
"Expected number of coin tosses before $k$ heads","2013"
"Probability that two people Mike and Joe sit next to each in a random circular seating arrangement of eight seats.","2013"
"How to solve infinite possible coin problem?","2015"
"Hypergeometric Distribution2","2014"
"X and Y have joint density function c/x^3","2016"
"Expected Value of Max of IID Variables","2012"
"Number of ways to place 4 different letters into 4 different envelopes.","2016"
"Optimal strategy for picking cards: win a dollar for red, lose one for black, and stop at any time","2014"
"Very basic probability question (inequalities)","2012"
"If $x \in [0,3]$ and $y \in [0,4]$, what is the probability of $x < y$?","2015"
"Why is the probability of countable set is $0$?","2015"
"Conditional probability of check result","2015"
"Basic probability formulation","2015"
"What is the probability that all priorities are unique for Permute-By-Sorting algorithm?","2012"
"Probability Grid","2012"
"probability question with marbles","2016"
"Convergence in probability monotonicity property","2013"
"Probability of an event indicator, black and white balls","2014"
"Christmas Gifts Employees Probability Question","2015"
"80 tickets sold, buy 5; probability of winning all 3 prizes?","2015"
"Why binomial distribution doesn't count permutations?","2015"
"Simple pondering of probability","2011"
"Probability of a lone radioactive decay event in a window of time","2013"
"The difference of two IID random variables (exponential)","2015"
"Probability of 'same lottery numbers drawn twice'?","2015"
"Probability- What percentage answered ‘Yes’?","2014"
"Does the square of uniform distribution have density function?","2013"
"QuickSort Average Case Analysis: Probability of a Compare","2013"
"Probability of numbers","2014"
"Is There A Way To Calculate Expected value From Variance And Vice Versa?","2015"
"Cheating in multiple choice tests.","2013"
"3 independent Poisson Y3 random variables","2015"
"the limiting distribution of a sum of random variables","2015"
"A wrong reasoning about conditional probability","2012"
"Sum of the number shown on the die","2016"
"Probability of a 4-digit number with all its digits different being a multiple of 11?","2013"
"Probability question about coin flipping","2015"
"Sum of two independent random variables","2011"
"How many times do I need to toss a coin","2011"
"Probability of getting a royal flush with four wild-cards","2011"
"Describing Bayesian Probability","2011"
"Probability of Sets","2015"
"conditional probability: climbing ladders up or down with 1/2 chance","2013"
"robot climbing ladder with different probability to climb up at each bar","2013"
"Finding Probabilities from moment generating functions","2013"
"Probability of duplicates choices","2014"
"Too many independences for decomposition of full joint probability?","2011"
"How calculate the number of possible different variations?","2011"
"Roulette outcome probability","2013"
"Tower property of conditional expectation - simple proof.","2013"
"Chance for getting M samples from each of N Groups given S samples.","2013"
"Probability of Binomial twice of Geometric","2016"
"The ""Bold"" strategy of a single large bet is not the best Roulette strategy to double your money","2016"
"an urn contains two green, three yellow and five red balls.","2014"
"using binomial probabilities","2014"
"Conditional Probability Involving Types Of Credit Cards","2013"
"Given a list L of N elements uniformly sampled from a set A, what is the probability that L contains every element of A?","2016"
"Probability of picking all white marbles?","2015"
"Conditional Probability for Exponential Random Variables","2015"
"Probability and uniform distribution","2011"
"Weird probability question - Grapes & olives","2015"
"Draw cards repeatedly, until we find the ace of spades. Probability that we draw between 20 and 30 cards?","2016"
"Is the x-ray girl lying?","2014"
"Conditional probability exercise - am I thinking right?","2016"
"Probability Question - Baye's Rule","2013"
"online probability course using Ross","2011"
"Proving sets to be independent","2011"
"Deriving joint CDF from joint PDF","2014"
"Correlation between two sampling RVs","2012"
"Choosing the same number with weighted probability","2012"
"Anyway to solve this problem without calculation?","2015"
"Finding the Probability of B, knowing the Probability of B | A and B|A'","2016"
"Size of intersection between sets","2013"
"Probability and arithmetic sequence question","2013"
"two integers are chosen at random between $0$ and $10$ what is the probability that they differ by no more than $5$?","2016"
"double decker, 13 card flush vs. 18+ of each color card. Who has the better odds of winning?","2015"
"A and B play a series of games. Find the probability that a total of 4 games are played.","2015"
"Is there a mistake in this question?","2014"
"Can anyone give me an explanation why $E(Y| X) = E(E(Y| X, Z)| X)$?","2014"
"Simple balls in bins clarification?","2016"
"Law of the Iterated Logarithm and Stopping Times","2016"
"Product of two dependent Gaussian random variables","2015"
"Probability Fair Coins toss $W_{t+1}=1+W_{t}$ or $W_{t+1}= 1/W_{t}$","2013"
"Probability; can't understand the maths","2012"
"What is the probability that two or more persons' birthday is January 1st?","2013"
"probability - expected lifetime","2013"
"Probability question on picking balls ","2012"
"Straight Forecast Probability (Horse Racing)","2013"
"If event A is independent with event B, then is the subset of A is independent with B?","2015"
"find the limit of a probability connected to a Markov chain","2015"
"4 girls and 8 boys are randomly divided into 3 groups of equal size","2015"
"Probabilty to win in die rolling game","2013"
"Golf Par Probabilities","2014"
"Basic Probability: Bag with either of two possibilities, add a third, probability of a certain outcome?","2014"
"Football game, penalty kicks, maximizing winning chances","2014"
"a problem for the probability of distributed objects","2014"
"Finding $P$ if $P(\{n\})$ proportional to $(1/6)^n$ for all $n\in \Omega$","2015"
"What is the difference between multinomial and categorical distribution?","2014"
"How do you compute the steady state probabilities of a continuous time markov chain?","2011"
"Expectation of $X$ given a Cumulative Function","2013"
"$E[x\mid x>1]$ if $X \sim \exp(\lambda)$","2012"
"Probability of cartesian product of events","2015"
"Expectation of the sum - birthday anniversary problem.","2014"
"Finding the probability of selecting a correct answer","2014"
"compute Pr($X_1>X_2$)","2013"
"Probability of a uniform distrubated stochastic variable larger than another","2014"
"the probability of picking certain amount of items from a sack.","2012"
"Conditional Probability","2016"
"Run of $N$ successes before run of $k$ failures","2011"
"Condition for a Birth-Death chain to be transient","2013"
"Hi/Lo Probability guessing game","2013"
"Prove sum of unindependent Gaussian random variable is still Gaussian","2013"
"Basic Probability Law Proof","2015"
"Expected value equals sum of probabilities","2014"
"Regression towards the mean v/s the Gambler's fallacy","2013"
"Exponential distribution problem","2013"
"Minimum of random exponential variable and time","2015"
"probability with standard deviation","2015"
"Union of Sample space","2016"
"Three Radar Probability","2014"
"On average, how many times does one need to roll three fair dice to get a sum of 10?","2014"
"Cumulative probability and predicted take in a raffle?","2012"
"Game of probability","2015"
"How to find the Number of tries to get a value greater than 4 tossing a fair die","2016"
"Probability of 20 consecutive success in 100 runs.","2013"
"Confusion about a conditional probability question?","2015"
"How does the answer to Feynman's Restaurant Problem change if $M$ is not restricted to a single value?","2013"
"Is ""probability of probability"" precise language?","2016"
"Link between Standard Normal R.V. transofrmation to polar coordinates and orthogonal matrices","2013"
"Tail event, convergence of series","2013"
"Conditional probability of a zero inner product","2015"
"correlated coin problem","2011"
"What will be the mean time of an active customer based on the probability of a 2% monthly drop off?","2014"
"combining probibilities","2016"
"A question about the conditional PDF?","2016"
"Expected value of function of multiple variables","2013"
"getting an outcome x number of attempts","2014"
"Apple's Binomially Distributed?","2014"
"question about probability and balls in urns","2014"
"How many rounds were played given...","2016"
"Index where first half exceeds second half","2016"
"Conditional probability for three events","2015"
"Number of coin flip problem","2016"
"Probability of selection without replacement and dependent removal","2016"
"Conditional probabilities of spinning spinners","2015"
"Typing Probability","2014"
"Looking for example/explanation of why some basics results about variance/MGF are important","2015"
"Why the distinguishability changes the probability?","2015"
"odds of winning","2015"
"Determining whether two events are Independent","2014"
"probability problem - expectation","2014"
"A question about independence wrt joint random variable","2013"
"An Average of Probabilities","2015"
"A family of events such that all proper subfamilies are independent, but the entire family is not","2011"
"probability - Dependency and R.V","2011"
"Determine probability of getting a desired outcome","2016"
"Conditional probability density function of X given Y = y","2015"
"Out of 36 random drawings what are the odds of numbers 1-12 each coming up 3 times?","2016"
"Quick probability question on matching","2011"
"How many times $n$ must you play a game in which you have a $1/N$ chance of winning to have a better than 50% chance of winning at least once","2016"
